eng,dutch,lev
patient,patiënt,0.75
lottery,loterij,0.57143
temper,temperen,0.75
drama,drama,1
waltz,wals,0.6
genital,genitaal,0.875
gramme,gram,0.66667
camera,camera,1
camera,filmcamera,0.6
prostitute,prostituee,0.9
prostitute,prostituée,0.81818
invite,inviteren,0.66667
planet,planeet,0.85714
exploration,exploratie,0.81818
constant,constant,1
expedition,expeditie,0.8
metal,metalen,0.71429
metal,metaal,0.83333
cafe,café,0.6
nazism,nazisme,0.85714
oval,ovaal,0.8
kirk,kerk,0.75
sterilize,steriliseren,0.66667
favourite,favoriet,0.66667
druid,druïde,0.57143
luxurious,luxueus,0.66667
lens,lens,1
desert,deserteren,0.6
statesman,staatsman,0.77778
reserve,reserve,1
reserve,reserveren,0.7
tube,tube,1
penis,penis,1
compose,componeren,0.6
intensive,intens,0.66667
intensive,intensief,0.77778
atlas,atlas,1
brigade,brigade,1
dessert,dessert,1
claustrophobia,claustrofobie,0.78571
antipode,antipode,1
arrange,arrangeren,0.7
salad,salade,0.83333
salad,sla,0.6
shock,schok,0.6
shock,shock,1
ride,rijden,0.66667
undergo,ondergaan,0.55556
subtle,subtiel,0.71429
copenhagen,kopenhagen,0.9
depression,depressie,0.8
chicago,chicago,1
paddle,peddelen,0.625
troupe,troep,0.66667
plug,plug,1
body,body,1
extreme,extreem,0.71429
talent,talent,1
alaska,alaska,1
contradiction,contradictie,0.84615
weekday,weekdag,0.85714
climb,klim,0.6
accusative,accusatief,0.8
private,privé,0.57143
composer,componist,0.55556
patrol,patrouille,0.6
sermon,sermoen,0.85714
lime,limoen,0.66667
phallus,fallus,0.71429
kiosk,kiosk,1
tunnel,tunnel,1
parquet,parket,0.71429
tan,tanen,0.6
lamb,lam,0.75
democracy,democratie,0.7
profile,profiel,0.71429
collection,collectie,0.8
sadistic,sadistisch,0.8
bluff,bluf,0.8
syndrome,syndroom,0.75
drape,draperen,0.625
bind,binden,0.66667
correspond,corresponderen,0.71429
chief,chef,0.8
furious,furieus,0.85714
tuberculosis,tuberculose,0.83333
meter,meter,1
overtake,overtrekken,0.63636
neurotic,neurotisch,0.8
publication,publicatie,0.81818
criminal,crimineel,0.77778
dam,dam,1
dan,dan,1
sonata,sonate,0.83333
day,dag,0.66667
cider,cider,1
uninteresting,oninteressant,0.69231
elan,elan,1
activate,activeren,0.66667
junkie,junkie,1
wade,waden,0.8
electronics,elektronica,0.81818
franc,frank,0.8
plague,plagen,0.66667
bleed,bloeden,0.57143
yard,yard,1
mortar,mortier,0.71429
yarn,garen,0.6
qualification,kwalificatie,0.69231
hurdle,horde,0.66667
vandal,vandaal,0.85714
pauper,stumper,0.57143
pauper,pauper,1
ancient,antiek,0.57143
vulgar,vulgair,0.85714
vagina,vagina,1
jingle,klingelen,0.55556
cabin,cabine,0.83333
explanation,explicatie,0.63636
nun,non,0.66667
shampoo,shampoo,1
compensation,compensatie,0.83333
ventilation,ventilatie,0.81818
anthropologist,antropoloog,0.64286
comfortable,comfortabel,0.81818
tide,getijde,0.57143
dictate,dicteren,0.625
demonstration,demonstratie,0.84615
acceleration,acceleratie,0.83333
billiards,biljart,0.55556
bakery,bakkerij,0.625
mix,mixen,0.6
hazel,hazelaar,0.625
handbag,handtas,0.71429
police,politie,0.71429
snuffle,snuffelen,0.77778
roll,rol,0.75
roll,rollen,0.66667
enthusiastic,enthousiast,0.75
absurd,absurd,1
normally,normaliter,0.6
selection,selectie,0.77778
text,tekst,0.6
industrialist,industrieel,0.61538
communism,communisme,0.9
scorpion,schorpioen,0.8
mica,mica,1
communist,communist,1
inferior,inferieur,0.77778
bear,beer,0.75
perfection,perfectie,0.8
beak,bek,0.75
romantic,romantisch,0.8
organ,orgel,0.6
organ,orgaan,0.83333
mascara,mascara,1
national,nationaal,0.88889
racket,racket,1
reform,reformeren,0.6
routine,routine,1
incarnation,incarnatie,0.81818
almoner,aalmoezenier,0.58333
jeweller,juwelier,0.75
equal,egaal,0.6
glorious,glorieus,0.875
comment,commentaar,0.7
relevant,relevant,1
ohm,ohm,1
overcoat,overjas,0.625
commend,roemen,0.57143
news,nieuws,0.66667
hellish,hels,0.57143
bulk,bulk,1
deep,diep,0.75
general,generaal,0.875
helper,helper,1
chaotic,chaotisch,0.77778
partner,partner,1
administration,administratie,0.85714
film,filmen,0.66667
film,film,1
frivolous,frivool,0.66667
practice,praktijk,0.625
sauna,sauna,1
center,centrum,0.57143
position,positie,0.75
clinic,kliniek,0.57143
voltage,voltage,1
absorption,absorptie,0.8
match,match,1
string,string,1
flamingo,flamingo,1
success,succes,0.85714
sofa,sofa,1
journalism,journalistiek,0.69231
tram,tram,1
journalist,journaliste,0.90909
journalist,journalist,1
heel,hiel,0.75
classical,klassiek,0.55556
classical,klassikaal,0.7
authority,autoriteit,0.6
hair,haar,0.75
congress,congres,0.875
discretion,discretie,0.8
masked,gemaskerd,0.66667
lieutenant,luitenant,0.7
periodically,periodisch,0.58333
beaker,beker,0.83333
socket,sokkel,0.66667
tomb,tombe,0.8
elastic,elastisch,0.77778
spread,spreiden,0.625
glimmer,glimmen,0.85714
communion,communie,0.77778
globe,globe,1
ivory,ivoor,0.6
bus,bus,1
coke,cokes,0.8
sardine,sardine,1
genitals,genitaliën,0.63636
glory,glorie,0.66667
circus,circus,1
pip,pit,0.66667
pit,pit,1
corporation,corporatie,0.81818
detail,detail,1
surreal,surreëel,0.66667
granite,graniet,0.71429
bundle,bundel,0.66667
cheque,cheque,1
astronomy,astronomie,0.8
tart,taart,0.8
resolution,resolutie,0.8
baker,bakker,0.83333
pupil,pupil,1
sleep,slaap,0.6
hate,haten,0.8
trolley,trolley,1
paris,parijs,0.83333
teapot,theepot,0.71429
agitator,agitator,1
under,onder,0.8
school,school,1
school,leerschool,0.6
direct,direct,1
nail,nagel,0.6
blue,blauw,0.6
revolver,revolver,1
pate,pastei,0.66667
forum,forum,1
luggage,bagage,0.57143
invasion,invasie,0.75
thermal,thermaal,0.875
straw,stro,0.6
stink,stinken,0.71429
idyll,idylle,0.83333
hospital,hospitaal,0.88889
princess,prinses,0.75
muse,muze,0.75
myrrh,mirre,0.6
grenade,granaat,0.57143
dolphin,dolfijn,0.57143
guarantee,garanderen,0.6
guarantee,garantie,0.77778
ceremony,ceremonie,0.77778
end,einde,0.6
end,eind,0.75
toxic,toxisch,0.71429
poker,poker,1
horoscope,horoscoop,0.77778
arthritis,artritis,0.88889
lump,klomp,0.6
parallel,parallel,1
complexity,complexiteit,0.75
jungle,jungle,1
archaeology,archeologie,0.72727
theme,thema,0.8
sprout,spruit,0.66667
london,londen,0.83333
oven,bakoven,0.57143
oven,oven,1
hypocrisy,hypocrisie,0.8
strand,stranden,0.75
centimetre,centimeter,0.8
inventory,inventaris,0.7
tourist,toeristisch,0.54545
tourist,toerist,0.85714
plaster,pleisteren,0.6
plaster,pleister,0.75
filling,vulling,0.71429
victory,victorie,0.75
constipation,obstipatie,0.66667
constipation,constipatie,0.83333
thesis,thesis,1
waffle,wafel,0.66667
saturday,zaterdag,0.625
god,god,1
motel,motel,1
sand,zand,0.75
numerical,numeriek,0.66667
rail,rail,1
alms,aalmoes,0.57143
formation,formatie,0.77778
biological,biologisch,0.7
acrobat,acrobaat,0.875
correctness,correctheid,0.72727
tolerant,tolerant,1
filter,filter,1
filter,filtreren,0.66667
filter,filteren,0.75
scheme,schema,0.83333
already,alreeds,0.71429
gazelle,gazelle,1
galley,galei,0.66667
primary,primair,0.71429
rank,rang,0.75
fantasy,fantasie,0.75
insulation,isolatie,0.6
sarcasm,sarcasme,0.875
top,top,1
top,topje,0.6
euphoria,euforie,0.625
ton,ton,1
serve,serveren,0.625
western,westers,0.85714
western,westelijk,0.55556
wardrobe,garderobe,0.77778
troop,troep,0.8
flame,vlammen,0.57143
flame,vlam,0.6
unrest,onrust,0.66667
ram,ram,1
drip,drop,0.75
drip,druipen,0.57143
raw,ruw,0.66667
raw,rauw,0.75
rat,rot,0.66667
rat,rat,1
ocean,oceaan,0.83333
seminar,seminarie,0.77778
spade,spa,0.6
spade,spade,1
steamboat,stoomboot,0.66667
elegance,elegantie,0.77778
contact,contact,1
snob,snob,1
effectiveness,effectiviteit,0.69231
glow,gloed,0.6
tanzania,tanzania,1
flop,flop,1
reputation,reputatie,0.8
inspire,inspireren,0.7
sage,salie,0.6
radio,radio,1
analogue,analoog,0.625
asbestos,asbest,0.75
ultimatum,ultimatum,1
report,rapport,0.71429
idiotic,idioot,0.57143
egoist,egoïst,0.71429
automatic,automatisch,0.81818
detection,detectie,0.77778
capacity,capaciteit,0.7
continually,continu,0.63636
grandmother,grootmoeder,0.54545
catalogue,catalogus,0.88889
catalogue,catalogiseren,0.61538
finger,vinger,0.83333
oxidation,oxidatie,0.77778
elm,olm,0.66667
facet,facet,1
emerald,smaragd,0.57143
conference,conferentie,0.81818
beer,bier,0.75
cognac,cognac,1
beet,biet,0.75
leprosy,lepra,0.57143
procedure,procedure,1
pyramid,piramide,0.75
speech,speech,1
pathology,pathologie,0.8
wound,wonde,0.6
wound,wond,0.8
complex,complex,1
misery,misère,0.57143
cycle,cyclus,0.66667
incapable,incapabel,0.77778
mother,moeder,0.66667
enlighten,verlichten,0.7
elf,elf,1
caravan,karavaan,0.75
apart,apart,1
gift,gift,1
specific,specifiek,0.77778
sanction,sanctie,0.75
sponge,spons,0.66667
advertise,adverteren,0.7
intellect,intellect,1
informative,informatief,0.81818
christmas,kerstmis,0.55556
espionage,spionage,0.88889
officer,officier,0.875
cord,koord,0.6
erotica,erotica,1
cowboy,cowboy,1
plum,pruim,0.6
dinner,diner,0.83333
curry,curry,1
prince,prins,0.66667
aha,aha,1
aha,ah,0.66667
aha,ha,0.66667
civil,civiel,0.83333
slogan,slagzin,0.57143
vaccination,vaccinatie,0.81818
transform,transformeren,0.69231
sunlight,zonlicht,0.625
gin,gin,1
metabolism,metabolisme,0.90909
medium,medium,1
amateur,amateur,1
spongy,sponzig,0.57143
adore,adoreren,0.625
decorate,decoreren,0.66667
petition,petitie,0.75
check,checken,0.71429
regime,regime,1
tip,top,0.66667
tip,tip,1
tin,tin,1
erosion,erosie,0.71429
tic,tic,1
marketing,marketing,1
navel,navel,1
yacht,jacht,0.8
vietnam,vietnam,1
fasten,vastmaken,0.55556
coach,coachen,0.71429
impression,impressie,0.8
rod,roede,0.6
focus,focus,1
adjective,adjectief,0.77778
ventilator,ventilator,1
rot,rot,1
passage,passage,1
melon,meloen,0.83333
institute,instituut,0.77778
masturbate,masturberen,0.72727
brother,broer,0.71429
brother,broeder,0.71429
trend,trend,1
pore,porie,0.8
patriarch,patriarch,1
yippee,jippie,0.66667
bake,bakken,0.66667
substitute,substitueren,0.75
hymn,hymne,0.8
constitution,constitutie,0.83333
stump,stomp,0.8
water,waterig,0.71429
water,water,1
baseball,baseball,1
newcomer,nieuwkomer,0.7
navigation,navigatie,0.8
humour,humeur,0.83333
humour,humor,0.83333
erudite,erudiet,0.71429
crisis,crisis,1
projector,projector,1
republican,republikein,0.72727
republican,republikeins,0.66667
athens,athene,0.83333
conductor,conducteur,0.8
altar,altaar,0.83333
cashier,kassier,0.71429
chocolate,chocolade,0.88889
chocolate,chocola,0.77778
tribunal,tribunaal,0.88889
judo,judo,1
streak,streek,0.83333
streak,streep,0.66667
figure,figuur,0.66667
critic,criticus,0.75
sharp,scherp,0.66667
eloquent,eloquent,1
vital,vitaal,0.83333
irrational,irrationeel,0.81818
information,informatie,0.81818
amuse,amuseren,0.625
inform,informeren,0.6
exclusive,exclusief,0.77778
comfort,comfort,1
estuary,estuarium,0.66667
magistrate,magistraat,0.8
midnight,middernacht,0.54545
canary,kanarie,0.57143
tetanus,tetanus,1
organisation,organisatie,0.83333
presence,presentie,0.77778
platform,platform,1
swindle,zwendelen,0.55556
tulip,tulp,0.8
obscene,obsceen,0.71429
acetone,aceton,0.85714
occult,occult,1
execute,executeren,0.7
realist,realist,1
advent,advent,1
realistic,realistisch,0.81818
realise,realiseren,0.7
plunder,plunderen,0.77778
ejaculation,ejaculatie,0.81818
sprinkle,sprenkelen,0.7
sprinkle,besprenkelen,0.58333
zebra,zebra,1
obsession,obsessie,0.77778
hysteria,hysterie,0.875
profit,profiteren,0.6
emigrate,emigreren,0.66667
clover,klaver,0.66667
theory,theorie,0.71429
unfriendly,onvriendelijk,0.53846
telepathy,telepathie,0.8
visit,visite,0.83333
flare,flakkeren,0.55556
motion,motie,0.66667
hypnosis,hypnose,0.75
swing,swingen,0.71429
unborn,ongeboren,0.55556
pelican,pelikaan,0.75
gala,gala,1
engineer,ingenieur,0.55556
district,district,1
plank,plank,1
convention,conventie,0.8
welfare,welvaart,0.625
festivity,festiviteit,0.72727
spiral,spiraal,0.85714
hub,hub,1
revue,revue,1
hut,hut,1
holder,houder,0.83333
diplomatic,diplomatiek,0.81818
diplomatic,diplomatisch,0.83333
aesthetic,esthetisch,0.7
prostitution,prostitutie,0.83333
silhouette,silhouet,0.8
malta,malta,1
animation,animatie,0.77778
fracture,fractuur,0.75
new,nieuw,0.6
clatter,kletteren,0.55556
saunter,slenteren,0.55556
adopt,adopteren,0.55556
masturbation,masturbatie,0.83333
detective,detective,1
set,set,1
gulf,golf,0.75
genius,genie,0.66667
virtual,virtueel,0.75
tailor,tailleur,0.625
hedge,heg,0.6
radar,radar,1
workman,werkman,0.85714
joker,joker,1
barbaric,barbaars,0.625
bison,bizon,0.8
spaniard,spanjaard,0.77778
picnic,picknick,0.75
picnic,picknicken,0.6
pane,paneel,0.66667
trick,truc,0.6
college,college,1
jot,jota,0.75
detect,detecteren,0.6
federal,federaal,0.875
opening,opening,1
definite,definitief,0.8
refine,verfijnen,0.55556
guitar,gitaar,0.66667
come,komen,0.6
reaction,reactie,0.75
region,regio,0.83333
contract,contract,1
contract,contracteren,0.66667
pakistan,pakistan,1
pot,po,0.66667
pot,pot,1
colony,kolonie,0.57143
period,periode,0.85714
bizarre,bizar,0.71429
turkey,turkije,0.57143
helicopter,helikopter,0.9
indirect,indirect,1
tiger,tijger,0.83333
minister,minister,1
attentive,attent,0.66667
irrelevant,irrelevant,1
robber,rover,0.66667
pilot,piloot,0.83333
case,casus,0.6
shaft,schacht,0.57143
myself,mezelf,0.66667
myself,mijzelf,0.57143
sex,sex,1
sex,sexe,0.75
cash,cash,1
rapier,rapier,1
helmet,helm,0.66667
author,auteur,0.66667
alphabet,alfabet,0.75
trip,trippen,0.57143
trip,trip,1
bermuda,bermuda,1
macaroni,macaroni,1
hermit,heremiet,0.75
tipsy,tipsy,1
nest,nest,1
weed,weed,1
delicate,delicaat,0.75
weep,wenen,0.6
cartoon,cartoon,1
villa,villa,1
magical,magisch,0.57143
model,model,1
kilt,kilt,1
actress,actrice,0.57143
kilo,kilo,1
polish,polijsten,0.55556
satin,satijn,0.83333
halfway,halfweg,0.71429
hind,hinde,0.8
acute,acuut,0.6
snore,snurken,0.57143
snore,knorren,0.57143
particle,partikel,0.625
territory,territorium,0.72727
serious,serieus,0.85714
tower,toren,0.6
madrid,madrid,1
competition,competitie,0.81818
deduce,deduceren,0.66667
table,tabel,0.6
legal,legaal,0.83333
porter,portier,0.85714
football,voetbal,0.625
inspect,inspecteren,0.63636
communicate,communiceren,0.75
slaughter,slachten,0.66667
slaughter,slacht,0.55556
plastic,plastisch,0.77778
plastic,plastic,1
amber,amber,1
communication,communicatie,0.84615
determine,determineren,0.75
feudal,feodaal,0.71429
mental,mentaal,0.85714
racism,racisme,0.85714
strict,strikt,0.83333
strict,stipt,0.66667
yoghurt,joghurt,0.85714
yoghurt,yoghurt,1
energy,energie,0.71429
cabinet,kabinet,0.85714
soprano,sopraan,0.71429
promote,promoveren,0.6
promote,promoten,0.875
fabricate,fabriceren,0.7
neurology,neurologie,0.8
grass,gras,0.8
cinema,cinema,1
politics,politiek,0.75
bishop,bisschop,0.75
biochemistry,biochemie,0.66667
rubber,rubber,1
championship,kampioenschap,0.61538
manipulate,manipuleren,0.72727
symbol,symbool,0.85714
nucleus,nucleus,1
psychology,psychologie,0.81818
applause,applaus,0.875
invest,investeren,0.6
curve,curve,1
all,al,0.66667
all,alles,0.6
chinese,chinees,0.71429
meditation,meditatie,0.8
alp,alp,1
synthetic,synthetisch,0.81818
glimpse,glimp,0.71429
apartment,appartement,0.81818
catastrophe,catastrofe,0.81818
program,programma,0.77778
present,present,1
present,presenteren,0.63636
egyptian,egyptisch,0.66667
citadel,citadel,1
fan,fan,1
sentimental,sentimenteel,0.83333
uganda,oeganda,0.71429
list,lijst,0.8
saxophone,saxofoon,0.66667
salute,salueren,0.625
programme,programma,0.88889
programme,programmeren,0.75
ten,tien,0.75
design,dessin,0.66667
design,design,1
harden,harden,1
sum,som,0.66667
public,publiek,0.71429
version,versie,0.71429
christian,christelijk,0.63636
christian,christen,0.77778
varnish,vernis,0.71429
tragedy,tragedie,0.75
mythology,mythologie,0.8
identity,identiteit,0.7
mutant,mutant,1
florence,florence,1
irritate,irriteren,0.66667
flat,flat,1
flat,plat,0.75
definition,definitie,0.8
flit,flirten,0.57143
flag,vlag,0.75
stick,stok,0.6
amputate,amputeren,0.66667
primate,primaat,0.71429
prophet,profeet,0.71429
excursion,excursie,0.77778
division,divisie,0.75
imitation,imitatie,0.77778
goal,goal,1
sandwich,sandwich,1
okay,okay,1
algebra,algebra,1
bumper,buffer,0.66667
bumper,bumper,1
adventure,avontuur,0.55556
short,kort,0.6
balloon,ballon,0.85714
laboratory,laboratorium,0.75
essence,essence,1
essence,essentie,0.75
mission,missie,0.71429
stride,schrijden,0.55556
stride,schrede,0.57143
avenue,avenue,1
glide,glippen,0.57143
glide,glijden,0.71429
mattress,matras,0.625
scot,schot,0.8
might,macht,0.6
predator,predator,1
scandinavia,scandinavië,0.83333
slipper,slipper,1
athletics,atletiek,0.66667
friendship,vriendschap,0.72727
nicotine,nicotine,1
weight,wicht,0.66667
weight,gewicht,0.57143
generation,generatie,0.8
hawaii,hawaï,0.66667
hawaii,hawaii,1
narcissus,narcis,0.66667
unconventional,onconventioneel,0.8
monocle,monocle,1
alcohol,alcohol,1
absorb,absorberen,0.6
friday,vrijdag,0.57143
generate,genereren,0.66667
bourgeoisie,bourgeoisie,1
circuit,circuit,1
twenty,twintig,0.57143
consequence,consequentie,0.83333
waggon,wagon,0.83333
radical,radicaal,0.875
psychoanalysis,psychoanalyse,0.85714
urinal,urinoir,0.57143
sympathy,sympathie,0.77778
blank,blanco,0.66667
corporal,korporaal,0.77778
temperature,temperatuur,0.81818
script,schrift,0.71429
script,script,1
automobile,automobiel,0.8
swarm,zwerm,0.6
storm,storm,1
storm,stormwind,0.55556
aristocracy,aristocratie,0.75
option,optie,0.66667
pump,pomp,0.75
hotel,hotel,1
king,koning,0.66667
instruction,instructie,0.81818
prairie,prairie,1
risky,riskant,0.57143
gall,gal,0.75
port,poort,0.8
electric,elektrisch,0.7
park,park,1
adder,adder,1
prestige,prestige,1
mineral,mineraal,0.875
hyena,hyena,1
amphibian,amfibie,0.55556
spire,spits,0.6
melody,melodie,0.71429
upwards,opwaarts,0.625
grotesque,grotesk,0.66667
penalty,penalty,1
shepherd,scheper,0.625
scalpel,scalpel,1
banquet,banket,0.71429
activity,activiteit,0.7
intelligence,intelligentie,0.84615
bard,bard,1
bark,bark,1
ark,ark,1
arm,arm,1
coordination,coördinatie,0.66667
viking,viking,1
atoll,atol,0.8
corruption,corruptie,0.8
solo,solo,1
korea,korea,1
attention,attentie,0.77778
roe,ree,0.66667
opposition,oppositie,0.8
competent,competent,1
bronze,brons,0.66667
bronze,bronzen,0.85714
bandit,bandiet,0.85714
roman,romeins,0.57143
smith,smid,0.6
weasel,wezel,0.66667
decline,daling,0.57143
complication,complicatie,0.83333
duo,duo,1
buzzard,buizerd,0.71429
reduction,reductie,0.77778
make-up,make-up,1
pi,pi,1
algeria,algerije,0.75
precision,precisie,0.77778
defect,defect,1
well-mannered,welgemanierd,0.69231
instructor,instructeur,0.81818
toga,toga,1
barricade,barricaderen,0.75
barricade,barricade,1
knob,knop,0.75
dublin,dublin,1
demon,demon,1
ecstasy,extase,0.57143
obstacle,obstakel,0.625
anguish,angst,0.57143
chauffeur,chauffeur,1
cumulus,cumulus,1
advise,adviseren,0.66667
yogurt,yoghurt,0.85714
cement,cement,1
robust,robuust,0.85714
lower,lager,0.6
analysis,analyse,0.75
knot,knoop,0.6
knot,knoest,0.66667
scrupulous,scrupuleus,0.9
altruistic,altruïstisch,0.69231
turbulence,turbulentie,0.81818
margarine,margarine,1
continent,continent,1
ravine,ravijn,0.66667
tablet,tablet,1
tablet,tabel,0.66667
productive,productief,0.8
collect,collecteren,0.63636
essential,essentieel,0.8
ecology,ecologie,0.75
clown,clown,1
innovation,innovatie,0.8
apathetic,apathisch,0.55556
elixir,elixer,0.83333
intense,intens,0.85714
intense,intensief,0.77778
vaccine,vaccin,0.85714
virus,virus,1
gamma,gamma,1
significant,significant,1
holster,holster,1
vagabond,vagebond,0.875
canal,kanaal,0.66667
fast,vast,0.75
delta,delta,1
penguin,pinguïn,0.625
motive,motief,0.66667
patriot,patriot,1
characteristic,karakteristiek,0.64286
etc.,etc.,1
saffron,saffraan,0.75
income,inkomen,0.71429
ferment,fermenteren,0.63636
ferment,werken,0.57143
organise,organiseren,0.72727
nice,nice,1
mustard,mosterd,0.71429
quinine,kinine,0.71429
envelope,envelop,0.875
envelope,enveloppe,0.88889
vaseline,vaseline,1
we,we,1
broad,breed,0.6
international,internationaal,0.92857
buffalo,buffel,0.71429
gold,goud,0.75
include,insluiten,0.55556
include,inhouden,0.625
dandy,dandy,1
sensation,sensatie,0.77778
electron,elektron,0.875
spook,spook,1
artery,arterie,0.71429
tenderness,tederheid,0.6
session,sessie,0.71429
friendliness,vriendelijkheid,0.53333
sap,sap,1
folk,volk,0.75
capital,kapitaal,0.75
ammunition,munitie,0.6
kangaroo,kangoeroe,0.66667
explore,exploreren,0.7
sexy,sexy,1
metro,metro,1
metre,metrum,0.66667
metre,meter,0.6
spinet,spinet,1
summation,sommatie,0.66667
stream,stroom,0.66667
consumption,consumptie,0.81818
attribute,attribuut,0.77778
snobbish,snobistisch,0.63636
musician,musicus,0.625
infection,infectie,0.77778
brochure,brochure,1
stroke,strelen,0.57143
stroke,strijken,0.625
primitive,primitief,0.77778
sinister,sinister,1
calculation,calculatie,0.81818
provoke,provoceren,0.6
goldsmith,goudsmid,0.66667
panic,paniek,0.66667
beige,beige,1
tact,tact,1
ethnic,etnisch,0.57143
psychedelic,psychedelisch,0.84615
light,licht,0.8
superior,superieur,0.77778
complicate,compliceren,0.72727
nostalgia,nostalgie,0.88889
turban,tulband,0.71429
orange,oranje,0.83333
sweden,zweden,0.83333
adornment,ornament,0.66667
crash,krach,0.6
crash,crashen,0.71429
orthodox,orthodox,1
citrus,citrusfruit,0.54545
material,materiaal,0.88889
material,materieel,0.77778
ambition,ambitie,0.75
easel,ezel,0.6
feast,feest,0.8
dogmatic,dogmatisch,0.8
cocoon,cocon,0.83333
economy,economie,0.75
category,categorie,0.77778
cocktail,cocktail,1
sentiment,sentiment,1
ejaculate,ejaculeren,0.7
chaos,chaos,1
fascist,fascist,1
fascist,fascistisch,0.63636
attentively,attent,0.54545
sort,soort,0.8
microphone,microfoon,0.7
organic,organisch,0.77778
fascism,fascisme,0.875
conversation,conversatie,0.83333
produce,produceren,0.7
bouquet,bouquet,1
bouquet,boeket,0.57143
echo,echoën,0.57143
echo,echo,1
listless,lusteloos,0.55556
accent,accentueren,0.54545
accent,accent,1
slide,glijden,0.57143
shell,schelp,0.66667
academy,academie,0.75
july,juli,0.75
congenital,congenitaal,0.90909
holland,holland,1
individual,individueel,0.81818
individual,individu,0.8
sculpture,sculptuur,0.77778
catholic,katholiek,0.66667
vegetation,vegetatie,0.8
centre,centrum,0.71429
siphon,sifon,0.66667
emancipation,emancipatie,0.83333
delve,delven,0.83333
class,klas,0.6
class,klasse,0.66667
subjective,subjectief,0.8
weekly,weekblad,0.625
utter,uiten,0.6
chicken,kieken,0.57143
chicken,kuiken,0.57143
debate,debat,0.83333
debate,debatteren,0.6
herald,heraut,0.66667
piano,piano,1
local,lokaal,0.66667
cuba,cuba,1
penetrate,penetreren,0.7
spur,spoor,0.6
rite,ritus,0.6
rite,rite,1
ghetto,getto,0.83333
champagne,champagne,1
kneel,knielen,0.57143
vibrate,vibreren,0.625
ebb,eb,0.66667
violet,violet,1
hooter,toeter,0.66667
crude,cru,0.6
torpedo,torpedo,1
exam,examen,0.66667
amen,amen,1
hypothesis,hypothese,0.8
grain,graan,0.8
polka,polka,1
respect,respecteren,0.63636
respect,respect,1
motorbike,motorfiets,0.6
motorbike,motor,0.55556
second,seconde,0.85714
decent,decent,1
nickel,nikkel,0.83333
puberty,puberteit,0.66667
repetition,repetitie,0.8
corset,korset,0.83333
vanilla,vanille,0.85714
will,wil,0.75
fingertip,vingertop,0.77778
wild,wild,1
whirlpool,whirlpool,1
gothic,gotisch,0.57143
buddhism,boeddhisme,0.7
geographical,geografisch,0.58333
inch,inch,1
disciple,discipel,0.75
slave,slavin,0.66667
slave,slaaf,0.6
diploma,diploma,1
automation,automatisering,0.64286
beast,beest,0.8
student,studente,0.875
student,student,1
pedal,pedaal,0.83333
excessive,excessief,0.77778
rocket,raket,0.66667
camel,kameel,0.66667
camel,kemel,0.6
panther,panter,0.85714
drunk,dronken,0.57143
hall,hal,0.75
simple,simpel,0.66667
stable,stal,0.66667
stable,stabiel,0.71429
ski,ski,1
identical,identiek,0.66667
term,term,1
term,termijn,0.57143
term,vakterm,0.57143
press,pers,0.6
doughnut,donut,0.625
pamphlet,pamflet,0.75
miami,miami,1
ticket,ticket,1
loser,loser,1
cutlet,kotelet,0.57143
pantomime,pantomime,1
sequence,sequentie,0.77778
export,exporteren,0.6
export,export,1
leak,lek,0.75
hovercraft,hovercraft,1
leader,geleider,0.625
leader,leider,0.83333
slut,slet,0.75
pasta,pasta,1
paste,pasta,0.8
column,colonne,0.57143
column,column,1
universe,universum,0.77778
biscuit,biscuit,1
sweat,zweet,0.6
udder,uier,0.6
wilderness,wildernis,0.8
gape,gapen,0.8
maize,mais,0.6
sabre,sabel,0.6
transfer,transfer,1
transfer,transfereren,0.66667
dynamite,dynamiet,0.75
beard,baard,0.8
jury,jury,1
volume,volume,1
sphinx,sfinx,0.66667
record,record,1
cake,cake,1
demonstrate,demonstreren,0.75
abbot,abt,0.6
diplomat,diplomaat,0.88889
book,boek,0.75
amusement,amusement,1
branch,branche,0.85714
conclusion,conclusie,0.8
lance,lans,0.6
hacker,hacker,1
june,juni,0.75
frustrate,frustreren,0.7
union,unie,0.6
cliff,klif,0.6
philately,filatelie,0.55556
space,spatie,0.66667
irony,ironie,0.66667
